gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG11768 CG11768 Gene Expression,1604.5204737279855,1.1004673817433768,0.24321226589494452,4.524719909557207,6.0475542207373505e-06,0.0010468083757857094,Cocaine_vs_Sucrose_Male,1.1004673817433768,True
Dmel_CG4268 Pitslre Gene Expression,16037.217743526002,0.7470059833168174,0.16546709538237492,4.514528895249988,6.3457670081943196e-06,0.0010777028083161712,Cocaine_vs_Sucrose_Male,0.7470059833168174,False
Dmel_CG1668 Obp19d Gene Expression,70.71787951696737,-3.315332698345727,0.7357669649496988,-4.505954814881342,6.607514796002858e-06,0.0011013748273855876,Cocaine_vs_Sucrose_Male,-3.315332698345727,True
Dmel_CR45474 lncRNA:CR45474 Gene Expression,34.299653619303726,-2.7249025816583776,0.6115006359967641,-4.456091165329217,8.346754865560158e-06,0.001278821315025971,Cocaine_vs_Sucrose_Male,-2.7249025816583776,True
Dmel_CG1691 Imp Gene Expression,7347.745283725088,1.0634889214940657,0.2382959853083056,4.462890636273756,8.086132926442975e-06,0.001278821315025971,Cocaine_vs_Sucrose_Male,1.0634889214940657,True
Dmel_CG3001 Hex-A Gene Expression,24411.080600589525,1.0623890710096862,0.23846176876627034,4.455175672419812,8.38245279263774e-06,0.001278821315025971,Cocaine_vs_Sucrose_Male,1.0623890710096862,True
Dmel_CG9774 Rok Gene Expression,1553.3754817793265,0.9814041420390306,0.21985585093286392,4.463852737486237,8.049890120527391e-06,0.001278821315025971,Cocaine_vs_Sucrose_Male,0.9814041420390306,False
Dmel_CR43887 lncRNA:CR43887 Gene Expression,22.522621099960247,-3.6580605136657303,0.8207445253115293,-4.457002637059618,8.311358115234523e-06,0.001278821315025971,Cocaine_vs_Sucrose_Male,-3.6580605136657303,True
Dmel_CG1683 Ant2 Gene Expression,137.66286202373706,1.3510099612672317,0.30468717081952296,4.4340887659739465,9.246252713087714e-06,0.0013269249682450344,Cocaine_vs_Sucrose_Male,1.3510099612672317,True
Dmel_CG34250 CG34250 Gene Expression,2619.3281677619298,1.0161335336653066,0.228984225729538,4.43757001351482,9.098013367547785e-06,0.0013269249682450344,Cocaine_vs_Sucrose_Male,1.0161335336653066,True
