gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,log2FC,significant
Dmel_CG4020 CG4020 Gene Expression,45.067442249368156,3.2150921951942713,0.5895581779076098,5.453392583925977,4.941780216895421e-08,7.510653898609161e-06,Cocaine_vs_Sucrose_Female,3.2150921951942713,True
Dmel_CG17108 CG17108 Gene Expression,168.6499872246006,-2.6345275967191415,0.48526194597622385,-5.429083443621653,5.6644197337962924e-08,8.46302711074819e-06,Cocaine_vs_Sucrose_Female,-2.6345275967191415,True
Dmel_CG10564 Ac78C Gene Expression,961.0233286692455,1.0793067676361856,0.1989892072537348,5.423946265889393,5.829741353435714e-08,8.564861671755969e-06,Cocaine_vs_Sucrose_Female,1.0793067676361856,True
Dmel_CG11266 Caper Gene Expression,9680.87770679752,0.7253803339924837,0.13432060685244632,5.4003652231062915,6.650536037828591e-08,9.610569700567054e-06,Cocaine_vs_Sucrose_Female,0.7253803339924837,False
Dmel_CG33979 capt Gene Expression,1020.8648928209491,1.12672706824718,0.2097032825696587,5.372958660639499,7.745509129232045e-08,1.1012364995835562e-05,Cocaine_vs_Sucrose_Female,1.12672706824718,True
Dmel_CG2765 CG2765 Gene Expression,1079.2725503909892,0.9936598784786677,0.1863136424261145,5.333264196542765,9.64628037124839e-08,1.3497136741675327e-05,Cocaine_vs_Sucrose_Female,0.9936598784786677,False
Dmel_CG7134 Cdc14 Gene Expression,4951.846178834413,1.067776081347021,0.20049026645315388,5.325825039972776,1.0049582967695423e-07,1.3788212943056101e-05,Cocaine_vs_Sucrose_Female,1.067776081347021,True
Dmel_CG9131 slmo Gene Expression,497.1094287698461,-1.1110776661619328,0.20870360687528644,-5.3237108969845055,1.0167145108322707e-07,1.3788212943056101e-05,Cocaine_vs_Sucrose_Female,-1.1110776661619328,True
Dmel_CG2947 HIP-R Gene Expression,1411.1270669141022,-0.9143998826647175,0.1719138140750938,-5.318943608948714,1.0437147546561662e-07,1.3939917518627433e-05,Cocaine_vs_Sucrose_Female,-0.9143998826647175,False
Dmel_CR43014 mir-990 Gene Expression,174.68959183170227,1.8872422059751528,0.35600941901987965,5.30110189548038,1.1510581870077167e-07,1.4921438115401503e-05,Cocaine_vs_Sucrose_Female,1.8872422059751528,True
Dmel_CG4593 CG4593 Gene Expression,449.47917759402804,1.3566312804612524,0.25584181660044425,5.302617447326618,1.1415397702046545e-07,1.4921438115401503e-05,Cocaine_vs_Sucrose_Female,1.3566312804612524,True
Dmel_CG7439 AGO2 Gene Expression,2386.6956149004354,0.8663794836978985,0.16396076275761434,5.284065950453527,1.2634773201037297e-07,1.6141380545962865e-05,Cocaine_vs_Sucrose_Female,0.8663794836978985,False
Dmel_CG3039 ogre Gene Expression,1052.3458908514713,1.144033044202945,0.21767210115101226,5.255763316261004,1.4741177215983085e-07,1.8563353879841556e-05,Cocaine_vs_Sucrose_Female,1.144033044202945,True
Dmel_CG18324 CG18324 Gene Expression,324.2437233975705,1.5282999750934527,0.2919472962727848,5.234848873768866,1.6511991002659144e-07,2.050045080118878e-05,Cocaine_vs_Sucrose_Female,1.5282999750934527,True
